id,product_id,embedding_vector
22,participant,"[0.861, 0.257, -0.188, 0.192, -0.136, -0.931, -0.437, 0.994, 0.241, 0.699]"
23,own,"[0.683, -0.298, -0.433, -0.405, 0.144, -0.372, -0.055, 0.056, 0.771, 0.937]"
24,environment,"[0.89, -0.43, -0.094, 0.002, -0.218, -0.351, 0.769, 0.375, 0.007, 0.735]"
25,movement,"[0.294, 0.031, 0.254, -0.674, 0.613, 0.654, -0.792, -0.097, 0.133, 0.65]"
26,speak,"[0.152, 0.957, 0.285, -0.653, 0.283, -0.159, -0.181, -0.62, 0.884, 0.254]"
27,analysis,"[-0.892, 0.02, -0.051, 0.484, 0.57, 0.263, -0.914, -0.047, 0.99, 0.963]"
28,letter,"[0.034, 0.766, -0.667, 0.242, -0.181, 0.737, -0.959, -0.64, -0.966, 0.729]"
29,become,"[-0.292, -0.583, 0.41, 0.413, 0.515, 0.258, 0.868, -0.371, 0.349, 0.997]"
30,world,"[-0.6, -0.091, -0.112, 0.228, -0.242, -0.69, 0.163, -0.354, 0.62, -0.664]"
31,strategy,"[0.571, -0.276, -0.395, 0.666, -0.645, -0.896, -0.33, 0.649, -0.176, 0.403]"
32,want,"[-0.405, -0.41, 0.157, -0.008, -0.052, 0.802, 0.363, -0.639, 0.445, 0.95]"
33,subject,"[0.915, 0.111, 0.886, 0.869, 0.258, 0.73, -0.255, 0.868, 0.903, 0.458]"
34,movie,"[0.616, 0.139, 0.072, -0.271, 0.858, 0.893, -0.223, -0.511, -0.497, 0.228]"
35,couple,"[0.835, 0.603, -0.4, -0.525, -0.301, -0.855, -0.958, 0.566, -0.099, 0.518]"
36,do,"[-0.252, -0.49, 0.82, -0.423, -0.639, 0.868, -0.056, -0.97, -0.897, 0.244]"
37,race,"[-0.615, -0.145, -0.862, -0.76, 0.807, 0.079, -0.24, 0.821, 0.312, -0.824]"
38,less,"[-0.295, 0.191, 0.138, -0.393, 0.894, 0.704, 0.057, -0.475, -0.209, 0.066]"
39,small,"[0.136, -0.158, 0.085, 0.899, 0.71, 0.168, 0.173, -0.125, 0.37, -0.496]"
40,hand,"[-0.053, 0.744, 0.81, 0.815, -0.483, -0.153, -0.384, 0.127, 0.156, 0.109]"
41,fund,"[0.596, 0.399, -0.725, -0.989, 0.995, 0.143, 0.309, 0.07, -0.545, 0.128]"
42,note,"[0.891, 0.673, -0.742, 0.506, -0.508, -0.384, -0.33, 0.576, 0.842, 0.792]"
43,fear,"[0.191, 0.851, 0.775, 0.462, -0.275, -0.884, 0.681, 0.923, -0.584, 0.687]"
44,would,"[0.426, -0.452, -0.002, 0.95, -0.556, 0.677, -0.213, -0.786, -0.955, 0.61]"
45,end,"[0.463, 0.619, -0.366, -0.605, -0.632, -0.255, 0.181, -0.972, -0.867, 0.984]"
46,reality,"[-0.591, -0.177, 0.144, -0.131, 0.241, 0.547, -0.859, 0.392, 0.569, -0.123]"
47,test,"[-0.621, 0.417, -0.213, 0.836, 0.839, 0.883, 0.186, 0.29, 0.943, -0.426]"
48,suffer,"[-0.424, -0.738, -0.438, -0.437, -0.615, -0.059, 0.483, -0.649, -0.39, -0.969]"
49,degree,"[-0.683, 0.5, 0.904, -0.31, -0.585, -0.313, -0.862, -0.644, -0.593, 0.325]"
50,parent,"[-0.027, 0.465, 0.105, -0.475, 0.98, 0.281, 0.459, -0.271, -0.332, -0.538]"
51,final,"[0.503, -0.265, -0.226, -0.708, 0.008, -0.14, 0.438, -0.036, -0.963, -0.207]"
52,the,"[-0.266, -0.745, -0.871, 0.929, -0.568, 0.71, 0.522, 0.084, 0.752, -0.788]"
53,office,"[0.209, 0.625, 0.642, -0.529, -0.84, -0.698, -0.694, 0.408, -0.813, 0.809]"
54,though,"[0.798, 0.511, -0.933, -0.009, -0.666, -0.511, -0.436, -0.712, -0.926, 0.194]"
55,surface,"[0.091, -0.153, -0.366, -0.191, -0.826, -0.47, 0.216, 0.261, 0.815, -0.621]"
56,walk,"[-0.127, -0.896, -0.037, 0.438, -0.825, 0.755, -0.86, -0.091, -0.946, 0.403]"
57,nice,"[-0.038, -0.648, 0.87, -0.502, -0.755, -0.891, 0.447, 0.216, 0.335, 0.133]"
58,size,"[-0.508, -0.011, -0.758, 0.744, 0.521, -0.827, 0.859, 0.949, 0.009, 0.495]"
59,happen,"[0.005, 0.246, 0.193, -0.722, 0.059, -0.722, 0.876, 0.796, -0.599, 0.146]"
60,account,"[-0.648, -0.051, -0.486, -0.277, -0.251, 0.919, 0.596, -0.244, 0.556, 0.799]"
61,recent,"[0.151, 0.325, 0.792, -0.223, -0.162, 0.894, -0.682, 0.631, 0.871, 0.64]"
62,myself,"[-0.344, 0.553, 0.117, 0.789, -0.471, 0.695, 0.752, 0.486, 0.973, -0.709]"
63,public,"[0.918, 0.311, 0.401, 0.273, -0.019, -0.48, 0.507, -0.774, -0.679, -0.032]"
64,thus,"[0.756, 0.596, -0.789, 0.006, -0.28, 0.273, -0.702, 0.787, 0.486, 0.653]"
65,skin,"[-0.51, -0.395, 0.387, 0.045, -0.928, -0.152, 0.594, -0.295, 0.499, 0.123]"
66,exactly,"[-0.186, 0.372, -0.854, -0.93, 0.994, -0.437, -0.636, -0.881, -0.648, 0.454]"
67,role,"[0.533, -0.987, -0.954, 0.526, -0.061, 0.115, 0.964, -0.515, -0.051, 0.692]"
68,happen,"[-0.699, -0.127, -0.932, -0.125, -0.075, 0.965, 0.294, 0.766, -0.05, -0.415]"
69,trial,"[0.269, -0.54, -0.066, 0.332, 0.31, 0.517, 0.695, -0.474, -0.751, -0.796]"
70,get,"[-0.191, -0.116, -0.901, 0.436, 0.318, -0.243, -0.741, 0.665, -0.968, -0.825]"
71,data,"[-0.32, -0.638, -0.996, -0.209, -0.181, 0.687, -0.989, -0.529, 0.166, -0.36]"
72,positive,"[-0.726, 0.255, 0.323, 0.66, -0.232, -0.867, -0.858, -0.28, 0.636, -0.104]"
73,institution,"[-0.771, 0.482, 0.978, 0.241, 0.932, 0.452, -0.397, 0.552, -0.852, 0.356]"
74,also,"[-0.687, -0.715, 0.45, -0.019, -0.838, -0.117, 0.145, -0.18, 0.674, 0.507]"
75,hit,"[-0.376, -0.697, 0.462, -0.8, 0.375, 0.801, 0.655, -0.644, -0.712, 0.62]"
76,maintain,"[-0.589, -0.328, -0.151, -0.322, 0.95, -0.596, 0.641, 0.246, -0.204, 0.476]"
77,whether,"[-0.153, -0.459, 0.777, 0.567, 0.95, -0.33, 0.77, 0.11, -0.293, -0.303]"
78,because,"[-0.576, -0.179, 0.664, 0.659, -0.496, 0.831, 0.961, -0.828, 0.862, -0.701]"
79,study,"[0.377, -0.512, -0.918, -0.713, 0.283, 0.676, 0.465, -0.926, 0.949, -0.353]"
80,point,"[-0.261, -0.871, 0.937, 0.905, 0.124, -0.299, 0.471, 0.343, -0.462, -0.227]"
81,idea,"[0.924, -0.665, 0.452, -0.085, -0.199, 0.202, -0.423, -0.167, -0.311, 0.822]"
82,receive,"[0.331, -0.301, -0.126, -0.183, -0.161, 0.877, -0.417, 0.54, 0.406, -0.037]"
83,risk,"[0.85, 0.694, 0.265, 0.01, 0.495, 0.022, 0.346, -0.993, -0.541, 0.305]"
84,morning,"[0.007, -0.423, 0.144, 0.062, 0.933, 0.191, 0.245, 0.326, 0.687, -0.485]"
85,white,"[-0.543, -0.134, -0.029, -0.682, -0.08, -0.147, 0.375, 0.081, -0.34, 0.133]"
86,machine,"[-0.774, 0.685, 0.364, 0.1, -0.893, -0.207, -0.428, 0.765, -0.511, 0.856]"
87,manager,"[-0.903, -0.324, 0.997, -0.352, -0.978, -0.785, 0.442, 0.587, 0.846, -0.209]"
88,so,"[0.021, 0.906, -0.54, -0.394, 0.467, -0.722, 0.517, 0.826, -0.426, -0.506]"
89,station,"[-0.89, 0.783, 0.4, -0.489, 1.0, 0.144, -0.642, -0.218, 0.769, -0.898]"
90,during,"[0.654, 0.405, 0.385, 0.674, 0.52, 0.115, -0.219, -0.696, -0.13, 0.44]"
91,there,"[0.289, -0.107, -0.402, 0.997, 0.916, -0.738, -0.779, -0.627, -0.252, -0.351]"
92,mother,"[-0.05, -0.525, -0.552, -0.182, 0.354, -0.179, 0.737, -0.297, 0.904, -0.348]"
93,suddenly,"[-0.344, 0.906, -0.533, 0.673, -0.852, 0.682, -0.612, -0.091, 0.989, -0.46]"
94,whom,"[0.421, -0.139, -0.28, -0.443, -0.895, 0.593, -0.627, -0.035, 0.252, -0.465]"
95,project,"[-0.753, 0.98, -0.456, -0.386, 0.022, 0.747, -0.783, -0.749, -0.956, 0.907]"
96,drive,"[-0.163, 0.268, -0.639, -0.239, 0.18, -0.512, -0.929, -0.529, -0.297, -0.05]"
97,dinner,"[-0.574, -0.325, 0.666, 0.583, 0.469, 0.615, -0.929, 0.12, -0.975, -0.302]"
98,green,"[-0.491, 0.287, -0.007, 0.509, 0.291, -0.002, 0.192, -0.773, 0.004, 0.677]"
99,structure,"[-0.222, -0.918, 0.062, -0.051, -0.684, 0.098, -0.283, -0.014, 0.582, 0.052]"
100,right,"[0.683, -0.752, 0.895, 0.465, 0.786, 0.854, 0.058, -0.337, 0.875, 0.153]"
101,eight,"[0.799, -0.161, -0.53, -0.313, 0.961, 0.625, -0.47, 0.202, 0.732, -0.127]"
102,feel,"[0.602, 0.519, 0.684, 0.1, 0.542, 0.702, -0.892, 0.429, 0.634, 0.796]"
103,floor,"[-0.183, 0.768, -0.675, 0.542, 0.142, -0.605, -0.664, -0.091, 0.438, 0.694]"
104,first,"[0.252, 0.171, -0.109, -0.086, -0.85, -0.389, 0.187, -0.742, -0.243, -0.445]"
105,beat,"[0.574, 0.052, -0.009, -0.833, 0.122, -0.218, 0.351, 0.721, -0.307, -0.514]"
106,place,"[0.618, -0.277, 0.131, -0.694, -0.045, 0.455, 0.778, 0.657, 0.37, 0.217]"
107,from,"[0.976, 0.96, -0.707, -0.804, -0.333, 0.134, 0.519, 0.868, -0.068, 0.843]"
108,structure,"[-0.597, -0.932, 0.892, 0.521, -0.155, -0.148, 0.942, -0.102, -0.61, 0.354]"
109,say,"[0.641, -0.593, 0.883, -0.5, -0.884, 0.423, -0.017, -0.71, 0.652, -0.2]"
110,when,"[-0.085, 0.655, -0.472, 0.887, 0.647, -0.383, 0.832, 0.999, -0.404, -0.28]"
111,full,"[-0.232, 0.695, 0.048, -0.683, 0.123, -0.22, -0.611, 0.983, -0.383, 0.116]"
112,money,"[-0.708, -0.876, 0.165, -0.773, -0.527, -0.853, -0.603, -0.148, -0.715, -0.514]"
113,same,"[0.478, -0.442, -0.321, 0.158, -0.437, 0.016, 0.094, -0.745, -0.879, -0.16]"
114,suggest,"[0.097, -0.582, -0.241, -0.545, -0.21, -0.099, -0.718, -0.897, 0.449, 0.819]"
115,particular,"[0.424, -0.126, 0.583, -0.278, -0.701, -0.275, -0.948, -0.958, 0.922, -0.974]"
116,they,"[0.006, 0.239, -0.703, -0.939, -0.027, 0.296, -0.919, 0.938, -0.54, 0.254]"
117,tend,"[0.362, -0.114, 0.73, 0.631, 0.984, 0.628, -0.965, -0.604, -0.363, 0.161]"
118,including,"[-0.012, -0.185, 0.428, 0.662, 0.569, -0.441, 0.012, 0.582, -0.871, -0.654]"
119,fast,"[-0.835, -0.333, 0.58, 0.273, 0.053, 0.487, -0.501, -0.044, 0.523, 0.939]"
120,fire,"[-0.21, -0.852, 0.405, -0.905, -0.334, -0.269, -0.009, 0.407, 0.637, 0.926]"
121,ability,"[0.47, 0.285, -0.764, -0.214, -0.39, -0.808, 0.414, 0.588, 0.193, 0.486]"
122,song,"[0.843, -0.375, -0.4, -0.325, -0.849, -0.705, -0.491, -0.403, 0.232, 0.315]"
123,player,"[0.819, -0.439, -0.361, -0.805, 0.928, -0.02, -0.029, -0.06, -0.99, -0.563]"
124,challenge,"[0.383, -0.86, -0.674, -0.666, -0.702, -0.202, -0.671, 0.683, -0.156, -0.184]"
125,model,"[-0.545, -0.51, 0.864, -0.503, 0.805, -0.615, 0.641, 0.306, -0.997, -0.778]"
126,compare,"[0.304, -0.506, -0.906, -0.092, -0.648, 0.428, 0.775, 0.592, -0.471, -0.625]"
127,firm,"[0.496, 0.829, 0.414, -0.755, 0.662, -0.245, -0.009, 0.322, -0.374, 0.406]"
128,partner,"[-0.499, 0.512, 0.987, -0.337, -0.413, -0.742, -0.188, 0.296, 0.513, -0.653]"
129,serve,"[-0.263, 0.723, 0.892, -0.418, -0.617, 0.318, -0.42, 0.427, -0.446, 0.739]"
130,partner,"[-0.15, 0.131, 0.008, -0.582, 0.29, 0.783, -0.591, -0.113, -0.753, 0.601]"
131,body,"[0.846, 0.337, -0.417, 0.171, -0.375, 0.862, 0.419, 0.521, -0.025, 0.739]"
132,your,"[0.429, 0.706, 0.93, 0.228, 0.473, -0.584, -0.737, 0.846, 0.448, -0.504]"
133,her,"[0.573, -0.786, 0.633, 0.813, -0.386, 0.16, -0.096, -0.203, 0.508, -0.473]"
134,everyone,"[-0.981, 0.446, -0.305, -0.13, -0.016, 0.611, 0.282, -0.279, -0.099, -0.986]"
135,indicate,"[-0.545, 0.298, 0.172, -0.726, -0.139, -0.094, 0.553, -0.429, -0.969, -0.349]"
136,possible,"[0.861, -0.394, -0.999, -0.422, -0.31, 0.439, -0.331, -0.404, 0.602, 0.52]"
137,technology,"[0.667, -0.052, 0.687, 0.547, -0.969, 0.336, -0.158, -0.715, 0.618, 0.352]"
138,wear,"[0.111, -0.4, 0.523, 0.519, 0.238, -0.082, -0.82, 0.584, -0.245, -0.325]"
139,mention,"[0.514, 0.985, 0.33, 0.41, -0.187, -0.866, -0.793, 0.404, -0.253, 0.028]"
140,what,"[0.829, 0.824, 0.698, 0.28, -0.923, 0.656, -0.416, -0.145, -0.951, -0.249]"
141,catch,"[-0.494, 0.598, 0.074, 0.55, -0.95, 0.26, -0.12, -0.245, 0.662, -0.611]"
142,someone,"[-0.93, -0.059, 0.85, -0.99, 0.689, 0.95, -0.636, -0.035, -0.009, -0.47]"
143,left,"[-0.885, 0.405, -0.719, -0.45, 0.31, 0.859, 0.07, -0.859, 0.278, -0.452]"
144,none,"[-0.817, 0.944, 0.557, -0.032, -0.354, -0.132, 0.454, -0.403, 0.51, 0.677]"
145,laugh,"[-0.408, 0.679, -0.734, -0.56, -0.562, 0.216, -0.58, 0.815, -0.288, 0.94]"
146,station,"[0.011, 0.349, -0.917, -0.31, -0.137, -0.241, -0.614, -0.011, 0.274, -0.905]"
147,speech,"[-0.832, 0.671, 0.247, -0.999, -0.186, -0.118, -0.035, 0.095, 0.224, 0.658]"
148,speak,"[-0.293, -0.404, -0.244, -0.333, -0.467, 0.603, 0.407, -0.762, 0.223, -0.759]"
149,argue,"[0.685, 0.634, 0.301, -0.845, -0.554, -0.485, 0.1, 0.123, 0.378, 0.707]"
150,benefit,"[0.839, 0.084, -0.411, 0.187, -0.232, 0.312, 0.037, 0.16, 0.167, -0.013]"
151,others,"[-0.845, 0.124, 0.404, -0.549, -0.25, 0.451, 0.659, -0.444, 0.519, -0.64]"
152,itself,"[-0.01, 0.135, 0.267, 0.01, 0.211, -0.18, 0.22, 0.715, 0.673, -0.849]"
153,somebody,"[0.639, 0.592, 0.791, 0.095, 0.253, 0.712, 0.66, -0.002, -0.311, 0.564]"
154,fish,"[0.038, -0.828, -0.043, -0.573, -0.371, -0.367, -0.993, -0.045, -0.296, 0.513]"
155,shoulder,"[0.137, 0.214, -0.512, -0.508, -0.238, -0.851, 0.441, 0.327, 0.139, 0.779]"
156,increase,"[0.945, -0.029, -0.979, 0.737, -0.313, -0.696, -0.814, -0.19, 0.647, -0.241]"
157,everybody,"[0.921, 0.645, -0.759, 0.466, 0.138, 0.489, 0.659, -0.803, -0.809, 0.957]"
158,other,"[-0.741, 0.581, 0.201, 0.66, 0.524, -0.558, 0.929, -0.136, -0.674, -0.121]"
159,simply,"[-0.428, -0.544, 0.212, -0.415, -0.508, -0.639, 0.955, -0.193, -0.008, -0.941]"
160,foreign,"[0.844, 0.857, -0.424, 0.991, 0.67, -0.49, -0.729, 0.829, 0.545, 0.453]"
161,somebody,"[-0.54, -0.315, 0.642, 0.364, 0.704, 0.952, 0.782, -0.007, 0.531, -0.657]"
162,second,"[-0.078, -0.152, 0.403, -0.392, 0.969, -0.415, -0.678, 0.387, -0.412, 0.733]"
163,year,"[0.558, -0.807, -0.042, 0.705, 0.232, -0.92, 0.243, -0.849, -0.514, -0.9]"
164,visit,"[0.663, -0.65, 0.274, -0.37, -0.07, 0.953, 0.226, 0.016, 0.461, 0.795]"
165,hold,"[0.933, -0.982, -0.962, 0.172, 0.441, -0.953, 0.69, 0.425, -0.866, -0.289]"
166,present,"[-0.436, 0.65, -0.625, -0.739, 0.567, -0.414, 0.482, -0.727, -0.069, -0.71]"
167,green,"[0.136, 0.52, 0.697, -0.482, -0.21, 0.483, 0.569, 0.791, -0.984, 0.878]"
168,effect,"[0.158, 0.524, -0.852, 0.997, 0.185, 0.815, 0.84, -0.654, -0.56, 0.091]"
169,conference,"[-0.948, 0.238, 0.008, -0.658, 0.461, 0.405, -0.604, -0.75, 0.06, 0.354]"
170,raise,"[0.969, 0.783, -0.015, -0.425, -0.771, -0.393, 0.5, 0.66, -0.336, -0.762]"
171,arm,"[-0.888, 0.143, -0.271, 0.257, -0.694, -0.761, 0.536, -0.126, 0.677, 0.233]"
172,once,"[0.815, -0.871, 0.839, -0.415, 0.69, -0.015, 0.218, 0.023, 0.725, -0.254]"
173,recognize,"[-0.787, 0.504, -0.855, -0.172, -0.075, 0.315, -0.05, -0.606, 0.585, 0.122]"
174,young,"[0.664, 0.67, 0.498, -0.234, 0.498, -0.184, 0.889, 0.053, 0.046, 0.516]"
175,soldier,"[-0.896, 0.013, -0.697, -0.0, -0.905, -0.892, -0.409, -0.029, -0.895, 0.814]"
176,Mrs,"[0.523, -0.826, -0.785, -0.104, 0.917, 0.747, -0.351, -0.794, 0.484, 0.276]"
177,everything,"[-0.948, -0.141, -0.731, -0.42, 0.766, -0.555, -0.594, -0.077, 0.433, 0.736]"
178,sit,"[0.059, 0.283, 0.973, -0.679, 0.96, 0.894, -0.967, 0.321, 0.886, -0.198]"
179,sure,"[-0.533, 0.006, -0.8, -0.663, -0.051, -0.161, 0.307, -0.468, -0.051, 0.887]"
180,three,"[0.392, 0.385, -0.02, -0.195, -0.711, -0.867, -0.507, 0.83, 0.482, -0.51]"
181,produce,"[-0.81, 0.77, -0.394, 0.64, 0.791, 0.278, -0.081, -0.238, -0.168, -0.154]"
182,safe,"[0.747, -0.064, -0.864, 0.566, -0.922, 0.629, -0.649, -0.971, -0.047, -0.823]"
183,air,"[0.912, -0.77, -0.629, -0.49, -0.381, -0.201, -0.272, -0.589, 0.046, 0.626]"
184,move,"[-0.749, 0.6, 0.484, -0.728, 0.881, 0.122, 0.766, -0.589, 0.287, -0.686]"
185,give,"[0.168, 0.394, -0.569, -0.508, 0.62, 0.334, -0.675, 0.973, -0.397, -0.564]"
186,song,"[-0.904, -0.722, -0.201, 0.521, -0.822, 0.431, -0.561, -0.478, 0.533, 0.211]"
187,page,"[-0.391, 0.806, -0.361, 0.46, -0.392, -0.869, 0.699, 0.315, -0.874, -0.22]"
188,stand,"[0.369, -0.474, 0.132, 0.648, 0.341, 0.835, 0.702, -0.048, 0.737, -0.718]"
189,bad,"[0.209, 0.663, 0.845, -0.59, 0.317, -0.107, 0.221, -0.084, 0.816, 0.157]"
190,theory,"[0.745, -0.4, 0.479, 0.354, -0.422, 0.422, 0.448, 0.058, -0.393, -0.357]"
191,or,"[-0.651, 0.952, 0.597, -0.851, 0.59, 0.506, 0.399, -0.7, -0.54, 0.443]"
192,tough,"[0.791, -0.509, 0.923, 0.176, -0.058, 0.698, -0.474, 0.017, -0.213, -0.453]"
193,standard,"[-0.246, -0.499, -0.11, -0.402, 0.447, -0.263, 0.729, 0.538, 0.8, -0.215]"
194,clearly,"[-0.211, -0.011, -0.576, 0.209, -0.046, 0.7, -0.722, -0.759, -0.279, 0.763]"
195,development,"[-0.483, -0.791, -0.149, 0.769, -0.028, -0.213, -0.024, 0.075, -0.072, -0.413]"
196,relate,"[-0.971, 0.683, -0.887, 0.042, 0.557, 0.603, 0.721, -0.845, -0.663, -0.296]"
197,foreign,"[-0.77, 0.317, -0.846, 0.464, 0.53, 0.549, 0.184, 0.591, 0.148, -0.802]"
198,foreign,"[-0.093, 0.283, 0.391, -0.739, -0.325, 0.464, -0.582, -0.071, -0.082, -0.104]"
199,writer,"[-0.613, 0.34, -0.5, -0.381, -0.458, -0.522, -0.701, 0.318, -0.675, -0.196]"
200,trade,"[-0.348, 0.728, 0.048, 0.422, 0.449, -0.215, -0.327, -0.54, -0.911, -0.162]"
