id,transaction_id,refund_amount,refund_date
52,exactly,401.15,2025-03-08T00:51:12
53,charge,5.5,2025-01-02T01:44:59
54,performance,406.62,2025-03-10T01:24:28
55,win,245.08,2025-01-13T09:53:46
56,health,456.78,2025-06-07T10:09:05
57,today,264.64,2025-07-11T22:44:58
58,day,439.18,2025-01-30T20:01:12
59,owner,165.83,2025-07-19T21:48:34
60,throughout,402.72,2025-03-23T23:00:07
61,skill,85.12,2025-06-16T22:13:10
62,crime,333.97,2025-02-17T01:29:02
63,radio,453.19,2025-02-28T07:33:12
64,by,248.86,2025-01-22T15:42:30
65,common,383.77,2025-01-14T03:27:48
66,both,320.18,2025-02-16T12:16:20
67,rich,489.94,2025-02-06T14:46:23
68,daughter,317.99,2025-03-21T07:23:40
69,quality,453.9,2025-01-29T08:39:09
70,series,372.41,2025-05-19T03:53:03
71,take,156.96,2025-03-21T12:51:10
72,world,479.72,2025-01-19T05:05:01
73,father,174.01,2025-03-17T15:13:23
74,anything,105.5,2025-03-19T21:47:16
75,current,354.99,2025-02-02T05:48:47
76,they,455.65,2025-01-02T05:14:45
77,show,207.15,2025-01-12T14:23:40
78,movement,103.27,2025-02-08T09:21:26
79,lawyer,361.83,2025-07-13T15:15:46
80,act,428.39,2025-05-15T21:00:38
81,material,276.44,2025-02-18T14:09:19
82,yeah,451.62,2025-02-26T19:25:04
83,hope,366.87,2025-04-20T23:17:26
84,try,67.16,2025-01-03T00:19:26
85,laugh,380.95,2025-02-23T08:43:10
86,no,473.27,2025-03-27T15:19:13
87,cultural,381.46,2025-05-30T08:05:16
88,bad,275.35,2025-05-07T18:58:41
89,too,397.71,2025-03-16T09:12:34
90,rule,177.55,2025-07-01T10:10:01
91,seek,467.01,2025-05-18T05:48:52
92,morning,304.58,2025-04-11T21:25:11
93,wonder,191.52,2025-04-07T20:24:59
94,look,25.54,2025-05-30T04:46:33
95,seat,31.47,2025-07-02T01:05:31
96,poor,410.24,2025-03-28T05:18:50
97,check,207.49,2025-02-22T02:32:42
98,summer,123.49,2025-07-18T14:05:46
99,win,83.21,2025-05-22T11:34:22
100,fear,399.87,2025-04-03T13:41:28
101,put,13.1,2025-04-30T09:22:14
102,growth,191.08,2025-03-29T18:57:23
103,soldier,293.42,2025-07-10T04:27:24
104,worry,258.34,2025-03-02T11:50:00
105,often,460.37,2025-04-04T23:46:17
106,us,336.58,2025-06-06T10:42:16
107,economic,318.42,2025-05-07T02:06:31
108,research,292.94,2025-07-21T16:40:06
109,result,263.64,2025-03-29T12:29:39
110,fight,66.74,2025-01-20T06:48:40
111,contain,437.3,2025-02-14T21:55:23
112,section,326.09,2025-01-06T17:48:24
113,ground,396.86,2025-07-20T07:52:50
114,west,154.26,2025-03-09T22:43:49
115,position,189.24,2025-04-11T14:23:21
116,own,463.9,2025-04-12T17:29:37
117,source,42.18,2025-05-29T23:03:01
118,design,51.9,2025-06-17T00:43:57
119,reflect,27.54,2025-05-24T21:25:19
120,order,431.92,2025-07-03T20:50:54
121,section,89.59,2025-01-25T21:58:54
122,pick,20.92,2025-04-11T06:06:36
123,four,171.54,2025-03-28T12:12:04
124,money,302.0,2025-07-10T13:21:31
125,decide,454.98,2025-06-02T10:11:20
126,however,90.58,2025-03-27T04:38:54
127,indeed,62.81,2025-02-09T14:06:08
128,administration,127.84,2025-03-17T15:34:02
129,Mr,26.12,2025-01-20T17:42:41
130,property,269.05,2025-01-08T23:09:19
131,name,375.45,2025-06-10T19:26:27
132,great,290.3,2025-01-15T09:08:29
133,low,250.34,2025-04-27T02:58:44
134,apply,30.45,2025-03-07T06:06:53
135,his,245.84,2025-06-23T23:06:13
136,history,50.76,2025-05-07T03:32:50
137,bring,199.43,2025-01-07T23:29:24
138,recognize,94.76,2025-06-03T03:25:03
139,behavior,393.12,2025-06-04T10:00:03
140,growth,356.62,2025-05-14T07:48:48
141,difficult,413.92,2025-07-12T00:58:06
142,until,260.99,2025-04-19T12:08:06
143,mean,252.59,2025-02-02T20:50:17
144,century,31.45,2025-06-02T02:33:52
145,help,178.03,2025-03-07T18:23:43
146,outside,33.13,2025-07-18T07:33:39
147,field,350.06,2025-03-20T09:50:48
148,major,457.39,2025-04-06T19:31:20
149,rock,234.41,2025-04-07T22:01:33
150,successful,55.32,2025-04-18T20:35:40
151,involve,367.01,2025-03-27T06:08:41
152,always,166.83,2025-05-03T13:56:56
153,Congress,231.11,2025-02-16T04:37:15
154,degree,312.5,2025-03-30T20:32:55
155,high,95.34,2025-05-23T16:29:48
156,man,377.36,2025-06-25T23:31:57
157,song,32.09,2025-05-14T12:51:24
158,side,184.3,2025-07-08T05:32:14
159,growth,451.86,2025-02-14T03:39:27
160,board,55.98,2025-05-31T01:16:36
161,child,6.22,2025-05-28T23:22:18
162,project,188.75,2025-05-02T16:19:50
163,around,424.32,2025-03-27T13:52:33
164,art,228.14,2025-04-06T08:38:33
165,peace,289.58,2025-05-03T01:42:36
166,public,245.98,2025-05-25T08:12:35
167,these,106.75,2025-01-06T06:28:00
168,painting,118.45,2025-01-18T17:07:21
169,her,223.77,2025-05-20T21:17:54
170,quality,70.37,2025-02-20T11:00:37
171,something,317.38,2025-06-30T18:32:48
172,term,161.55,2025-06-28T15:40:41
173,themselves,446.47,2025-07-13T09:00:36
174,pull,204.82,2025-01-09T03:31:55
175,me,188.68,2025-04-17T20:56:45
176,beat,50.25,2025-02-22T23:48:59
177,television,438.03,2025-07-05T12:07:17
178,reduce,37.85,2025-01-13T23:02:29
179,thus,404.06,2025-07-21T08:39:04
180,relationship,116.26,2025-07-14T20:35:41
181,indeed,267.99,2025-03-13T15:13:51
182,bit,158.48,2025-01-22T16:28:16
183,religious,130.63,2025-02-09T09:35:46
184,young,454.4,2025-01-14T10:20:11
185,these,337.48,2025-07-05T17:10:35
186,you,391.48,2025-04-15T21:42:43
187,industry,134.8,2025-04-19T03:52:47
188,teach,63.97,2025-05-26T18:58:56
189,staff,344.8,2025-06-29T23:08:27
190,one,124.36,2025-06-08T19:10:39
191,forward,189.08,2025-01-07T05:38:52
192,respond,101.07,2025-03-30T12:29:54
193,letter,270.83,2025-06-12T22:26:16
194,program,133.16,2025-07-17T20:01:19
195,religious,456.03,2025-04-07T09:48:59
196,though,309.37,2025-05-17T03:05:08
197,hotel,487.48,2025-06-07T16:00:32
198,foreign,158.27,2025-05-31T07:05:55
199,wind,367.43,2025-07-01T23:53:27
200,provide,495.36,2025-06-16T19:51:01
