id,query,embedding_vector
36,parent,"[0.637, 0.148, 0.9, -0.969, -0.83, -0.445, 0.525, 0.867, -0.337, 0.163]"
37,teacher,"[0.701, 0.424, -0.891, 0.932, -0.783, 0.16, -0.311, 0.249, -0.805, 0.209]"
38,happy,"[-0.617, -0.534, 0.342, 0.124, 0.641, -0.105, 0.067, -0.241, 0.284, -0.009]"
39,role,"[0.315, -0.955, -0.389, 0.115, 0.656, -0.703, 0.274, -0.974, -0.901, 0.412]"
40,place,"[0.67, 0.344, 0.036, -0.483, 0.31, -0.322, 0.896, -0.026, 0.424, -0.95]"
41,part,"[0.208, -0.31, -0.268, 0.503, -0.06, -0.423, -0.429, -0.678, 0.828, -0.887]"
42,pretty,"[-0.368, 0.445, -0.587, 0.193, -0.167, 0.005, -0.282, -0.961, 0.295, -0.968]"
43,peace,"[0.128, 0.947, 0.201, -0.714, 0.812, 0.115, -0.527, 0.413, -0.819, 0.786]"
44,page,"[-0.581, -0.201, -0.565, -0.104, 0.516, -0.981, 0.975, -0.004, 0.06, -0.96]"
45,individual,"[-0.972, -0.987, -0.008, 0.585, 0.242, -0.998, 0.156, 0.486, 0.944, 0.371]"
46,so,"[0.772, 0.766, -0.673, -0.856, 0.935, -0.189, 0.596, -0.891, -0.545, -0.834]"
47,goal,"[0.275, -0.275, -0.52, 0.868, 0.473, -0.225, 0.534, -0.535, 0.695, 0.605]"
48,fly,"[0.622, 0.451, 0.726, 0.748, -0.978, -0.041, 0.6, 0.356, -0.077, -0.419]"
49,I,"[0.095, -0.736, 0.285, 0.202, 0.949, -0.26, 0.263, -0.762, 0.74, -0.603]"
50,significant,"[-0.973, -0.183, 0.228, 0.61, -0.926, -0.261, 0.538, 0.541, 0.495, 0.851]"
51,trade,"[0.199, 0.592, -0.611, -0.919, 0.099, -0.605, -0.162, 0.751, -0.145, 0.453]"
52,blood,"[-0.217, 0.597, -0.532, 0.699, -0.59, 0.83, 0.978, -0.381, -0.978, 0.696]"
53,entire,"[-0.169, -0.526, 0.192, -0.67, -0.753, -0.15, 0.171, -0.968, -0.908, 0.265]"
54,blood,"[-0.339, -0.063, 0.446, -0.724, 0.449, -0.989, 0.764, -0.353, -0.559, 0.967]"
55,control,"[-0.984, 0.251, -0.196, -0.348, -0.32, 0.303, -0.3, -0.141, 0.91, 0.523]"
56,itself,"[-0.05, -0.295, -0.287, -0.698, 0.561, 0.756, -0.442, 0.443, -0.056, -0.905]"
57,message,"[0.906, 0.766, 0.109, -0.555, -0.234, 0.384, 0.53, -0.886, 0.012, 0.103]"
58,resource,"[0.706, -0.276, 0.884, -0.72, 0.055, 0.017, 0.139, -0.509, -0.206, 0.842]"
59,hope,"[-0.802, -0.438, -0.616, 0.282, -0.513, 0.703, 0.284, 0.387, 0.701, -0.331]"
60,find,"[-0.874, 0.684, -0.202, -0.499, 0.195, 0.972, 0.027, -0.961, 0.793, -0.756]"
61,would,"[-0.578, -0.562, -0.546, 0.987, -0.303, -0.154, 0.746, -0.472, -0.769, -0.177]"
62,family,"[-0.31, 0.346, 0.019, 0.718, -0.285, 0.722, 0.762, 0.698, -0.33, 0.073]"
63,matter,"[-0.438, 0.825, -0.084, -0.417, 0.595, -0.363, 0.482, -0.664, 0.635, -0.327]"
64,attack,"[0.779, 0.476, 0.854, -0.907, -0.614, -0.444, -0.8, -0.685, 0.004, 0.613]"
65,conference,"[-0.649, -0.985, 0.936, 0.451, 0.882, 0.042, 0.431, -0.015, 0.033, -0.46]"
66,Mrs,"[-0.674, -0.285, -0.176, 0.32, 0.251, -0.488, -0.345, 0.845, -0.04, 0.35]"
67,pattern,"[0.728, -0.001, 0.546, -0.794, 0.856, -0.303, -0.341, 0.319, -0.907, -0.781]"
68,building,"[-0.436, 0.137, -0.221, -0.915, 0.904, -0.558, -0.633, 0.874, -0.6, -0.397]"
69,what,"[0.611, -0.164, -0.217, 0.286, 0.117, -0.246, -0.6, 0.452, 0.862, -0.905]"
70,prove,"[0.862, 0.654, 0.42, -0.722, -0.785, -0.159, 0.69, -0.521, -0.004, -0.883]"
71,glass,"[0.035, -0.927, 0.744, 0.958, 0.904, 0.397, 0.811, -0.059, 0.241, 0.733]"
72,six,"[0.233, -0.196, -0.508, -0.209, -0.7, 0.982, -0.03, -0.405, -0.936, -0.351]"
73,letter,"[0.812, 0.844, 0.118, 0.38, -0.577, -0.159, -0.784, 0.348, 0.955, -0.245]"
74,American,"[-0.317, 0.509, -0.63, -0.054, -0.589, 0.433, -0.93, -0.491, -0.5, -0.278]"
75,water,"[0.269, -0.723, -0.322, 0.578, 0.803, -0.201, -0.357, 0.174, 0.613, 0.401]"
76,quality,"[0.114, 0.648, 0.961, -0.74, 0.195, 0.53, 0.038, -0.313, -0.388, -0.515]"
77,modern,"[0.649, -0.391, 0.858, -0.296, -0.482, 0.764, 0.134, 0.37, 0.918, -0.587]"
78,whom,"[-0.271, -0.795, 0.442, -0.865, -0.637, 0.374, -0.151, 0.904, 0.905, -0.004]"
79,trial,"[0.722, 0.163, -0.896, -0.752, 0.672, 0.572, 0.765, -0.737, 0.338, -0.136]"
80,yeah,"[0.47, -0.86, -0.686, -0.94, 0.77, 0.415, 0.809, -0.84, -0.357, -0.102]"
81,poor,"[-0.401, 0.711, 0.401, -0.788, 0.479, 0.144, -0.212, 0.997, -0.775, -0.024]"
82,field,"[-0.483, 0.139, -0.202, 0.667, -0.715, -0.64, 0.905, -0.368, -0.895, -0.869]"
83,tell,"[0.701, 0.394, 0.388, 0.118, -0.008, -0.781, 0.676, 0.1, -0.107, -0.314]"
84,rule,"[0.392, 0.483, 0.521, -0.944, -0.557, 0.875, 0.215, 0.94, -0.75, 0.818]"
85,door,"[-0.494, -0.711, -0.16, -0.815, -0.286, -0.704, -0.755, 0.29, 0.226, 0.423]"
86,do,"[-0.682, 0.294, 0.546, 0.383, 0.03, -0.223, 0.472, -0.399, 0.539, 0.746]"
87,base,"[0.48, -0.821, -0.966, -0.677, 0.681, -0.477, 0.907, -0.246, 0.817, 0.542]"
88,seek,"[-0.369, -0.616, -0.708, -0.783, 0.501, -0.525, 0.402, -0.06, 0.947, -0.318]"
89,buy,"[-0.628, 0.916, -0.053, 0.613, 0.741, -0.499, 0.784, 0.476, 0.697, -0.352]"
90,drive,"[-0.722, 0.82, -0.182, 0.33, 0.425, -0.9, 0.2, 0.687, 0.881, -0.302]"
91,arm,"[0.517, 0.74, -0.919, 0.69, -0.225, 0.912, 0.144, -0.079, 0.778, 0.656]"
92,product,"[-0.508, 0.729, -0.15, -0.166, 0.084, -0.06, 0.727, -0.035, -0.56, 0.718]"
93,always,"[-0.762, -0.397, 0.599, -0.296, 0.53, 0.005, 0.475, -0.912, -0.843, -0.043]"
94,security,"[0.412, -0.746, 0.271, -0.71, 0.666, -0.263, -0.905, -0.848, 0.647, -0.557]"
95,last,"[-0.426, 0.243, 0.761, -0.597, 0.059, 0.137, -0.01, -0.029, 0.558, 0.949]"
96,place,"[0.603, -0.557, 0.91, 0.601, -0.799, 0.733, -0.554, 0.115, 0.028, -0.331]"
97,today,"[-0.759, 0.668, -0.644, 0.891, 0.045, 0.271, -0.018, 0.725, -0.167, -0.212]"
98,true,"[-0.185, -0.885, 0.601, -0.606, 0.838, 0.417, 0.182, -0.121, -0.019, 0.493]"
99,letter,"[0.071, 0.387, 0.59, 0.921, 0.494, -0.206, 0.35, -0.456, 0.032, 0.556]"
100,father,"[-0.825, -0.429, -0.547, -0.606, -0.3, -0.673, 0.73, 0.738, 0.159, 0.151]"
101,sometimes,"[-0.409, -0.896, -0.597, -0.02, 0.912, 0.444, 0.36, 0.935, -0.99, 0.354]"
102,final,"[-0.914, -0.157, 0.654, -0.609, 0.558, -0.871, 0.936, 0.245, 0.642, -0.692]"
103,husband,"[0.682, -0.648, -0.909, 0.039, -0.376, 0.093, 0.613, -0.076, 0.955, -0.281]"
104,debate,"[-0.154, 0.143, -0.551, -0.5, 0.411, -0.431, -0.175, 0.33, -0.032, -0.165]"
105,budget,"[0.792, -0.812, 0.594, 0.818, -0.184, -0.957, -0.129, 0.064, -0.185, 0.513]"
106,material,"[-0.476, -0.017, 0.42, -0.255, -0.511, 0.342, -0.188, -0.268, -0.516, -0.984]"
107,town,"[0.127, 0.942, -0.519, -0.453, -0.425, -0.238, 0.976, 0.686, -0.473, 0.878]"
108,change,"[0.919, 0.879, 0.166, 0.841, 0.016, 0.39, -0.803, 0.052, 0.585, -0.273]"
109,receive,"[-0.507, 0.849, -0.129, -0.315, -0.071, 0.903, -0.992, -0.806, 0.354, -0.388]"
110,physical,"[0.733, -0.915, 0.929, 0.571, 0.598, -0.351, 0.713, 0.598, 0.728, 0.287]"
111,seat,"[-0.512, -0.332, -0.743, 0.755, -0.98, -0.445, -0.881, -0.28, -0.237, -0.708]"
112,again,"[0.38, 0.386, 0.387, 0.412, 0.888, -0.565, 0.725, 0.975, -0.585, 0.448]"
113,field,"[0.772, -0.843, -0.05, 0.229, -0.934, -0.012, 0.71, 0.935, -0.58, -0.417]"
114,buy,"[-0.732, -0.951, 0.305, -0.199, 0.808, -0.941, -0.826, -0.656, 0.261, 0.433]"
115,school,"[-0.318, 0.288, 0.889, 0.97, 0.864, -0.077, 0.769, -0.957, -0.0, 0.249]"
116,choice,"[-0.106, -0.313, -0.194, 0.791, 0.793, -0.429, -0.824, -0.435, 0.838, -1.0]"
117,despite,"[-0.928, -0.082, 0.04, 0.613, 0.329, -0.51, -0.516, 0.807, -0.566, 0.492]"
118,agree,"[0.58, 0.495, 0.452, -0.328, 0.175, -0.51, -0.245, -0.583, -0.858, 0.966]"
119,professor,"[-0.709, 0.314, -0.233, -0.579, 0.888, 0.748, 0.213, -0.13, 0.578, 0.293]"
120,writer,"[-0.063, 0.513, -0.139, 0.207, -0.482, 0.317, -0.696, 0.863, -0.575, -0.678]"
121,too,"[-0.308, 0.788, -0.515, -0.165, -0.159, -0.879, 0.431, 0.033, 0.435, -0.786]"
122,cost,"[0.446, 0.171, -0.859, 0.399, -0.966, -0.935, 0.057, -0.865, 0.463, 0.946]"
123,million,"[-0.469, -0.169, 0.228, -0.534, 0.111, 0.725, -0.401, -0.099, 0.639, 0.065]"
124,table,"[-0.124, 0.524, -0.734, 0.644, -0.116, 0.215, -0.026, 0.284, 0.203, -0.358]"
125,live,"[-0.695, -0.169, -0.824, 0.206, -0.823, -0.626, 0.49, -0.561, 0.423, 0.731]"
126,million,"[0.162, 0.165, 0.201, -0.499, 0.769, -0.733, 0.109, 0.62, 0.781, 0.786]"
127,necessary,"[0.851, -0.408, -0.723, -0.428, -0.402, 0.586, -0.491, -0.302, -0.831, -0.182]"
128,movement,"[-0.644, 0.473, 0.736, -0.992, 0.356, 0.989, 0.834, -0.169, -0.282, -0.19]"
129,program,"[-0.368, -0.716, -0.623, -0.556, 0.548, 0.61, -0.497, 0.446, -0.506, 0.603]"
130,write,"[-0.699, 0.212, 0.669, -0.094, 0.054, 0.408, -0.053, 0.005, -0.534, 0.612]"
131,foreign,"[0.583, -0.225, -0.98, 0.315, -0.666, -0.775, -0.795, -0.607, 0.728, -0.761]"
132,field,"[0.442, -0.488, -0.688, -0.149, 0.912, 0.47, -0.694, -0.981, -0.734, 0.643]"
133,these,"[0.9, 0.602, 0.153, -0.556, 0.054, -0.127, 0.658, 0.57, 0.534, 0.935]"
134,simple,"[0.03, 0.073, -0.336, 0.403, -0.447, -0.343, -0.076, 0.706, 0.725, -0.717]"
135,study,"[-0.43, 0.066, -0.257, 0.662, -0.529, 0.612, 0.705, -0.695, -0.89, 0.054]"
136,challenge,"[-0.879, -0.032, -0.23, -0.388, 0.873, 0.205, 0.082, 0.941, 0.307, 0.952]"
137,positive,"[-0.488, -0.449, -0.378, 0.534, -0.122, -0.147, 0.024, 0.427, -0.36, -0.954]"
138,town,"[-0.837, -0.516, -0.733, 0.768, 0.812, -0.716, -0.827, 0.984, -0.431, 0.197]"
139,talk,"[-0.682, 0.585, 0.991, 0.372, 0.621, -0.677, 0.166, -0.029, -0.598, 0.781]"
140,foot,"[0.831, 0.144, 0.912, 0.681, -0.459, 0.999, 0.914, -0.098, 0.31, -0.722]"
141,able,"[-0.391, 0.237, 0.233, -0.312, 0.778, 0.684, 0.143, -0.477, 0.305, 0.219]"
142,ahead,"[0.802, -0.455, 0.281, 0.484, -0.828, -0.058, -0.555, 0.651, -0.659, 0.534]"
143,interesting,"[0.604, -0.878, 0.466, -0.698, -0.642, -0.577, -0.876, 0.307, 0.304, 0.747]"
144,moment,"[-0.354, 0.925, 0.54, 0.72, -0.415, -0.648, -0.842, 0.619, -0.966, 0.2]"
145,star,"[0.894, -0.652, 0.367, -0.404, 0.028, 0.523, -0.77, 0.495, 0.408, -0.05]"
146,personal,"[0.209, -0.66, -0.313, -0.923, 0.543, 0.136, 0.83, 0.337, -0.939, -0.843]"
147,agent,"[-0.417, -0.818, 0.612, -0.736, 0.976, 0.758, 0.257, -0.548, -0.594, 0.188]"
148,let,"[-0.662, 0.802, -0.114, -0.254, 0.676, 0.089, 0.857, -0.11, 0.231, -0.088]"
149,return,"[-0.626, 0.413, -0.407, -0.19, -0.813, -0.312, 0.609, -0.212, 0.613, -0.171]"
150,dinner,"[0.54, -0.288, 0.983, 0.687, 0.66, -0.573, -0.799, -0.993, 0.153, -0.143]"
151,hope,"[-0.656, 0.006, 0.95, 0.107, -0.854, 0.512, -0.926, 0.353, -0.589, -0.304]"
152,painting,"[-0.132, -0.256, 0.95, -0.711, 0.068, 0.243, 0.17, -0.027, -0.771, 0.253]"
153,that,"[-0.077, 0.955, 0.152, -0.871, -0.627, 0.965, 0.591, 0.633, -0.911, -0.245]"
154,suggest,"[-0.793, 0.877, -0.868, 0.275, -0.292, 0.205, -0.379, 0.98, -0.322, 0.434]"
155,particularly,"[0.361, -0.514, -0.685, 0.246, -0.216, -0.051, -0.771, -0.756, 0.584, 0.362]"
156,goal,"[0.465, -0.388, 0.875, -0.935, -0.107, -0.051, -0.227, 0.393, -0.248, -0.841]"
157,alone,"[0.733, 0.244, 0.98, -0.313, -0.87, -0.669, -0.139, -0.732, -0.151, -0.694]"
158,gas,"[-0.628, -0.189, 0.263, -0.976, -0.149, -0.52, 0.902, 0.296, -0.809, 0.059]"
159,campaign,"[-0.641, 0.712, 0.294, 0.833, -0.947, -0.743, -0.635, -0.588, 0.421, 0.957]"
160,opportunity,"[0.56, -0.039, 0.663, -0.591, -0.201, -0.161, 0.271, 0.05, -0.446, -0.009]"
161,myself,"[0.8, 0.841, 0.326, -0.544, -0.579, -0.091, 0.24, -0.178, 0.781, 0.702]"
162,million,"[0.751, 0.553, -0.728, 0.566, -0.727, 0.94, -0.193, 0.028, 0.613, -0.347]"
163,onto,"[-0.18, -0.686, 0.638, 0.944, -0.179, -0.606, 0.855, -0.408, 0.609, -0.645]"
164,visit,"[-0.541, 0.944, 0.81, -0.081, 0.809, 0.926, -0.761, 0.247, -0.262, -0.705]"
165,same,"[0.674, -0.454, 0.43, -0.819, -0.778, 0.256, 0.791, -0.753, -0.538, -0.26]"
166,impact,"[-0.784, 0.574, -0.312, -0.005, 0.891, 0.016, 0.41, -0.682, 0.164, -0.116]"
167,detail,"[-0.153, -0.31, -0.306, 0.974, -0.382, -0.85, 0.584, -0.832, 0.303, 0.504]"
168,paper,"[-0.397, 0.095, 0.275, -0.891, -0.602, -0.534, 0.022, 0.573, 0.287, 0.089]"
169,into,"[0.078, 0.227, 0.851, 0.838, 0.112, 0.459, 0.71, -0.833, -0.093, 0.914]"
170,firm,"[0.087, 0.43, 0.038, -0.864, 0.334, 0.389, -0.875, -0.621, 0.396, 0.217]"
171,research,"[-0.973, -0.105, -0.542, 0.57, -0.175, -0.304, 0.637, 0.916, -0.161, 0.049]"
172,western,"[-0.147, 0.845, -0.989, 0.653, 0.933, 0.884, 0.133, -0.169, 0.248, 0.493]"
173,place,"[-0.22, 0.338, -0.759, -0.159, 0.461, -0.485, 0.362, 0.775, 0.697, -0.922]"
174,decade,"[-0.371, 0.478, -0.174, 0.231, -0.413, 0.154, 0.672, -0.275, 0.947, 0.824]"
175,no,"[-0.917, -0.317, -0.999, -0.599, 0.336, -0.745, 0.092, 0.356, 0.393, -0.121]"
176,table,"[-0.838, -0.363, -0.536, 0.455, -0.974, 0.68, 0.053, -0.215, 0.647, -0.858]"
177,manager,"[-0.969, -0.64, -0.516, -0.239, -0.61, 0.828, -0.617, -0.905, -0.384, -0.678]"
178,your,"[-0.586, 0.666, -0.732, 0.768, -0.858, 0.103, 0.061, -0.075, -0.001, -0.7]"
179,short,"[0.78, -0.09, -0.651, -0.751, -0.754, 0.317, -0.265, 0.055, -0.357, -0.416]"
180,our,"[-0.348, -0.464, -0.751, -0.885, 0.831, 0.967, 0.49, 0.827, 0.609, 0.351]"
181,thank,"[-0.968, -0.508, 0.623, -0.928, 0.02, -0.415, -0.645, 0.224, 0.495, 0.602]"
182,production,"[-0.159, 0.768, 0.54, -0.083, 0.96, 0.824, -0.282, 0.778, -0.243, 0.473]"
183,eat,"[0.572, 0.051, 0.67, 0.762, -0.345, -0.261, -0.176, -0.956, 0.279, 0.442]"
184,reason,"[-0.093, -0.389, -0.981, -0.304, -0.194, -0.981, 0.436, 0.238, -0.682, 0.972]"
185,place,"[-0.119, -0.606, 0.292, 0.801, -0.775, -0.243, -0.086, -0.423, 0.208, -0.94]"
186,majority,"[0.223, -0.05, -0.182, -0.114, 0.534, 0.192, -0.994, 0.835, -0.739, -0.737]"
187,century,"[-0.886, 0.85, -0.628, 0.659, -0.655, 0.515, -0.038, 0.644, -0.732, 0.093]"
188,name,"[0.912, 0.597, -0.006, 0.485, 0.454, -0.195, 0.182, 0.107, 0.741, -0.824]"
189,hear,"[-0.806, 0.98, 0.644, 0.07, -0.091, 0.661, -0.625, -0.448, 0.948, -0.373]"
190,treatment,"[0.525, 0.722, -0.196, 0.889, -0.457, -0.226, 0.252, 0.857, 0.648, 0.362]"
191,form,"[-0.04, 0.641, 0.178, -0.644, 0.174, 0.236, -0.877, -0.04, 0.273, 0.231]"
192,become,"[-0.248, -0.498, 0.418, -0.954, -0.855, -0.595, 0.849, -0.66, 0.901, -0.842]"
193,join,"[-0.624, -0.62, -0.828, -0.989, -0.118, 0.501, -0.288, 0.857, -0.294, 0.759]"
194,research,"[0.205, 0.528, 0.736, -0.417, -0.161, 0.076, 0.573, 0.529, -0.976, -0.087]"
195,focus,"[-0.452, 0.48, 0.337, 0.208, -0.325, -0.72, -0.622, 0.2, 0.33, 0.941]"
196,class,"[0.355, 0.17, -0.728, 0.868, 0.029, 0.471, 0.382, -0.901, 0.925, 0.301]"
197,sometimes,"[-0.381, -0.877, 0.039, -0.276, -0.187, 0.283, 0.596, -0.183, -0.713, 0.17]"
198,begin,"[-0.971, 0.897, -0.404, -0.761, 0.732, 0.101, -0.78, -0.675, -0.299, -0.616]"
199,certain,"[0.868, -0.433, -0.449, -0.441, -0.538, -0.17, 0.874, -0.838, 0.935, 0.796]"
200,story,"[-0.719, 0.392, -0.977, -0.87, 0.669, -0.279, -0.96, 0.11, 0.749, -0.038]"
