id,platform_product_id,price,currency,timestamp
173,there,382.41,USD,2025-03-10T08:36:10
174,argue,282.33,INR,2025-03-10T11:36:06
175,glass,52.73,INR,2025-02-25T17:48:19
176,hard,201.91,USD,2025-03-21T13:30:49
177,bit,100.3,USD,2025-04-15T08:29:30
178,give,161.04,INR,2025-01-11T03:30:06
179,friend,482.15,USD,2025-02-15T05:03:48
180,less,203.83,USD,2025-07-04T08:37:53
181,image,144.05,USD,2025-07-04T15:54:47
182,sometimes,430.18,USD,2025-03-10T08:54:33
183,recognize,495.74,INR,2025-03-27T21:32:57
184,later,132.99,INR,2025-03-04T00:54:15
185,need,486.28,INR,2025-06-26T13:18:28
186,create,31.2,INR,2025-02-02T07:24:16
187,already,347.07,USD,2025-04-21T14:47:05
188,ever,40.28,INR,2025-05-28T22:17:05
189,region,217.09,USD,2025-03-11T19:39:56
190,tend,58.91,USD,2025-01-20T14:52:14
191,word,69.24,INR,2025-02-06T10:55:25
192,finish,372.07,INR,2025-02-06T12:24:21
193,there,434.61,INR,2025-02-12T09:07:51
194,something,464.35,USD,2025-01-09T19:06:39
195,sometimes,270.94,INR,2025-03-11T09:44:38
196,first,120.77,INR,2025-04-04T18:32:15
197,let,462.11,USD,2025-07-08T11:22:20
198,change,38.12,INR,2025-04-23T06:37:33
199,week,349.74,USD,2025-02-08T06:27:22
200,to,360.48,USD,2025-04-03T03:35:58
