id,category_id,embedding_vector
60,sort,"[-0.733, -0.285, 0.378, 0.129, -0.979, 0.905, -0.673, -0.34, -0.605, 0.944]"
61,deal,"[-0.098, -0.466, -0.012, -0.792, 0.414, -0.658, 0.678, -0.719, 0.165, 0.332]"
62,away,"[-0.217, -0.348, 0.738, 0.795, -0.007, 0.073, -0.649, 0.521, -0.979, 0.661]"
63,take,"[-0.958, -0.872, -0.004, -0.727, -0.892, -0.059, 0.738, 0.845, -0.435, -0.758]"
64,shoulder,"[-0.603, -0.992, 0.428, 0.12, 0.306, -0.272, -0.891, -0.964, 0.451, -0.745]"
65,instead,"[-0.705, 0.716, -0.01, -0.34, 0.787, 0.015, -0.284, 0.623, 0.116, -0.911]"
66,exactly,"[0.254, -0.382, -0.967, -0.313, -0.862, 0.726, 0.01, -0.95, -0.138, -0.684]"
67,paper,"[-0.697, -0.098, 0.582, -0.523, -0.46, 0.386, 0.258, -0.618, -0.827, -0.269]"
68,like,"[-0.146, 0.394, 0.59, 0.562, 0.61, 0.107, -0.496, -0.154, -0.981, 0.59]"
69,huge,"[0.063, -0.082, 0.491, -0.158, -0.746, 0.201, 0.978, 0.323, 0.244, 0.906]"
70,present,"[-0.761, 0.156, -0.473, -0.281, 0.62, -0.392, 0.62, 0.743, 0.631, 0.279]"
71,natural,"[-0.058, -0.31, 0.285, 0.391, 0.843, -0.954, 0.204, 0.857, 0.702, 0.045]"
72,hospital,"[-0.008, 0.534, -0.763, 0.546, 0.759, 0.709, 0.666, 0.577, 0.796, -0.497]"
73,develop,"[-0.022, 0.629, -0.71, -0.92, 0.007, -0.049, -0.913, -0.235, 0.28, 0.209]"
74,ahead,"[-0.773, -0.234, 0.445, -0.51, -0.441, -0.565, 0.882, -0.76, -0.593, -0.246]"
75,almost,"[-0.307, -0.639, -0.02, -0.632, -0.014, 0.545, 0.772, -0.302, -0.831, 0.916]"
76,card,"[-0.668, -0.349, -0.617, 0.288, -0.835, 0.791, 0.114, -0.507, -0.243, -0.707]"
77,air,"[0.705, 0.461, 0.171, -0.165, 0.061, -0.32, -0.743, -0.178, 0.291, -0.67]"
78,build,"[0.856, -0.382, 0.577, 0.73, 0.295, -0.235, 0.741, -0.397, -0.982, 0.847]"
79,second,"[0.533, -0.012, -0.556, -0.878, 0.398, 0.613, -0.964, -0.289, 0.516, 0.192]"
80,front,"[-0.273, 0.763, -0.911, -0.867, -0.719, 0.076, -0.59, -0.127, -0.717, 0.45]"
81,himself,"[0.998, 0.677, -0.781, -0.252, 0.306, -0.734, 0.206, -0.988, -0.723, -0.84]"
82,become,"[0.723, 0.245, -0.391, -0.919, -0.766, 0.944, -0.508, 0.22, -0.659, 0.08]"
83,house,"[-0.779, -0.505, 0.487, 0.495, 0.625, -0.992, 0.687, 0.122, 0.627, 0.195]"
84,large,"[-0.979, 0.284, -0.468, -0.541, -0.373, 0.522, -0.115, -0.264, 0.574, -0.631]"
85,speech,"[-0.205, -0.684, 0.625, -0.125, -0.107, -0.334, 0.283, -0.845, 0.926, 0.626]"
86,check,"[0.525, 0.833, -0.79, -0.527, 0.535, -0.051, 0.24, -0.223, 0.525, 0.898]"
87,store,"[0.689, 0.351, 0.53, 0.358, 0.612, -0.152, -0.423, 0.661, -0.887, 0.255]"
88,party,"[0.969, -0.181, 0.515, 0.13, -0.055, 0.54, -0.643, -0.243, -0.982, -0.642]"
89,build,"[0.54, 0.743, 0.089, -0.841, -0.252, 0.239, 0.181, -0.969, 0.939, -0.927]"
90,man,"[-0.512, -0.15, -0.929, 0.783, -0.464, -0.776, -0.966, 0.605, -0.091, -0.392]"
91,edge,"[0.289, -0.956, 0.857, 0.015, -0.889, 0.165, -0.282, 0.989, -0.606, 0.452]"
92,garden,"[-0.494, 0.008, 0.342, -0.91, -0.466, 0.824, 0.255, -0.646, -0.89, -0.918]"
93,role,"[-0.214, -0.965, -0.299, 0.332, -0.284, -0.673, -0.381, 0.978, 0.158, -0.456]"
94,law,"[0.554, -0.049, 0.835, -0.922, -0.456, -0.558, -0.416, 0.608, -0.34, 0.328]"
95,goal,"[0.957, -0.937, 0.731, -0.869, -0.897, 0.578, 0.366, -0.237, 0.996, 0.017]"
96,purpose,"[-0.007, -0.417, 0.023, 0.66, -0.239, -0.924, 0.951, -0.698, -0.648, -0.845]"
97,enjoy,"[0.463, 0.801, 0.845, -0.686, 0.883, -0.804, -0.981, -0.558, -0.585, -0.531]"
98,hear,"[0.486, -0.137, -0.625, -0.635, 0.271, 0.825, -0.465, -0.406, 0.85, 0.066]"
99,camera,"[0.813, 0.201, -0.738, 0.969, 0.212, 0.905, 0.12, -0.199, 0.167, -0.812]"
100,ten,"[0.501, -0.746, -0.699, -0.568, 0.773, 0.784, -0.359, 0.394, 0.611, -0.658]"
101,just,"[-0.151, 0.061, 0.088, -0.969, 0.029, -0.278, -0.759, 0.48, 0.098, 0.122]"
102,sort,"[-0.697, -0.001, -0.019, -0.756, -0.642, -0.342, 0.845, 0.836, -0.275, -0.983]"
103,myself,"[0.134, 0.12, 0.607, 0.505, 0.154, 0.688, 0.572, -0.342, -0.278, 0.193]"
104,edge,"[0.958, -0.834, 0.611, 0.974, -0.403, -0.39, 0.803, 0.565, -0.122, -0.787]"
105,else,"[0.081, 0.949, 0.107, -0.027, -0.48, 0.51, 0.444, 0.831, 0.257, 0.197]"
106,final,"[-0.842, 0.157, 0.944, 0.589, 0.668, 0.243, 0.573, 0.711, 0.245, -0.125]"
107,quality,"[-0.111, -0.715, -0.782, 0.354, -0.621, -0.146, -0.251, 0.002, -0.566, -0.796]"
108,discuss,"[-0.16, -0.395, -0.001, 0.377, -0.836, 0.96, -0.039, 0.298, -0.616, -0.488]"
109,star,"[-0.847, 0.634, 0.178, 0.107, 0.624, -0.374, 0.694, 0.418, -0.504, 0.659]"
110,certain,"[0.065, 0.238, 0.16, -0.492, -0.05, 0.475, 0.88, 0.859, -0.693, 0.292]"
111,participant,"[-0.844, 0.507, 0.177, 0.941, -0.366, -0.195, -0.967, -0.766, -0.42, 0.949]"
112,back,"[0.705, -0.679, 0.58, 0.296, -0.66, 0.392, 0.2, 0.238, 0.017, 0.063]"
113,tell,"[0.326, 0.847, 0.316, -0.603, 0.982, -0.226, -0.04, -0.144, 0.961, 0.266]"
114,western,"[0.428, -0.38, 0.478, 0.894, -0.413, 0.724, -0.607, 0.795, 0.616, 0.741]"
115,light,"[-0.637, -0.833, -0.078, 0.212, -0.6, 0.364, -0.367, -0.366, 0.291, 0.992]"
116,relationship,"[-0.819, -0.051, 0.489, -0.677, -0.523, -0.151, 0.972, 0.052, -0.883, 0.78]"
117,service,"[-0.637, -0.488, 0.815, -0.09, 0.832, -0.394, 0.006, 0.649, 0.375, 0.825]"
118,case,"[0.352, 0.414, -0.125, -0.122, 0.953, 0.013, 0.02, 0.925, -0.637, 0.615]"
119,defense,"[-0.416, -0.492, -0.074, 0.002, 0.995, -0.645, -0.398, 0.166, 0.507, -0.564]"
120,nature,"[-0.625, -0.433, 0.088, 0.562, 0.746, 0.201, -0.432, -0.463, -0.304, 0.942]"
121,create,"[-0.217, 0.553, -0.743, 0.287, -0.251, 0.691, 0.294, 0.44, -0.282, -0.751]"
122,so,"[-0.36, 0.672, -0.455, 0.804, 0.168, -0.251, 0.394, 0.281, 0.764, 0.271]"
123,wonder,"[-0.783, 0.597, 0.065, 0.776, -0.535, 0.915, 0.177, 0.034, 0.404, 0.666]"
124,contain,"[0.602, -0.32, -0.929, 0.167, 0.681, -0.808, 0.968, -0.015, -0.354, -0.491]"
125,read,"[-0.196, -0.014, -0.091, 0.669, 0.253, -0.302, 0.44, 0.004, -0.615, 0.522]"
126,color,"[-0.751, 0.217, 0.936, 0.501, 0.111, 0.487, -0.472, -0.52, 0.678, -0.721]"
127,media,"[0.025, 0.521, -0.327, -0.477, -0.105, 0.339, 0.086, -0.575, 0.458, -0.604]"
128,ground,"[-0.547, 0.184, 0.617, 0.44, -0.498, -0.371, -0.834, -0.156, -0.197, -0.059]"
129,environmental,"[0.626, 0.592, 0.245, -0.004, -0.307, 0.366, 0.861, 0.897, 0.734, 0.385]"
130,assume,"[0.897, -0.853, 0.021, -0.708, -0.572, -0.19, -0.727, -0.492, 0.063, 0.02]"
131,improve,"[0.987, 0.28, -0.01, 0.886, 0.917, 0.121, 0.666, 0.832, 0.631, -0.978]"
132,street,"[-0.656, -0.168, -0.286, -0.277, 0.612, -0.892, 0.421, 0.967, -0.478, -0.537]"
133,somebody,"[-0.819, 0.294, -0.327, 0.969, 0.381, 0.214, 0.032, 0.34, 0.493, -0.871]"
134,offer,"[0.71, 0.906, 0.571, -0.403, 0.517, 0.144, -0.309, -0.018, 0.553, 0.623]"
135,argue,"[-0.071, -0.734, -0.253, -0.809, 0.618, 0.204, 0.908, 0.998, 0.477, -0.906]"
136,nothing,"[0.756, -0.563, -0.311, -0.621, 0.826, 0.197, 0.384, -0.548, -0.728, 0.74]"
137,recognize,"[0.971, 0.282, -0.735, -0.84, 0.295, 0.199, 0.476, -0.994, 0.94, 0.986]"
138,agency,"[-0.954, 0.298, 0.774, -0.522, 0.829, 0.716, -0.517, 0.084, 0.778, -0.265]"
139,behind,"[0.012, -0.86, -0.779, -0.287, 0.12, 0.224, -0.005, 0.642, -0.271, 0.519]"
140,nor,"[-0.092, -0.776, 0.224, -0.116, 0.641, 0.805, 0.97, -0.381, 0.223, -0.567]"
141,past,"[-0.255, -0.332, -0.482, 0.125, -0.694, -0.93, -0.317, -0.313, -0.864, -0.928]"
142,argue,"[-0.059, -0.296, -0.447, 0.588, 0.98, 0.704, 0.26, -0.736, 0.075, -0.263]"
143,draw,"[-0.132, 0.753, -0.803, 0.907, -0.059, 0.999, 0.243, -0.296, -0.399, 0.838]"
144,million,"[0.889, 0.809, -0.567, 0.088, 0.457, -0.281, -0.341, -0.504, 0.118, 0.528]"
145,food,"[0.8, 0.453, 0.58, 0.22, -0.478, -0.154, -0.495, -0.557, -0.355, 0.285]"
146,Mr,"[-0.843, 0.312, -0.419, 0.225, 0.737, -0.552, -0.66, -0.001, 0.251, 0.688]"
147,yourself,"[-0.476, 0.349, -0.162, 0.485, -0.33, -0.267, 0.935, 0.969, 0.409, -0.122]"
148,talk,"[-0.651, -0.311, 0.864, 0.372, 0.734, -0.596, -0.545, 0.548, 0.726, 0.7]"
149,television,"[0.27, -0.083, -0.669, 0.913, 0.775, -0.357, 0.959, -0.768, -0.477, -0.215]"
150,daughter,"[0.106, 0.395, -0.48, 0.351, -0.712, 0.278, 0.503, 0.359, -0.046, 0.046]"
151,better,"[-0.435, 0.016, -0.776, 0.957, 0.854, -0.24, 0.35, -0.468, -0.973, 0.979]"
152,drug,"[0.7, -0.792, 0.672, -0.286, 0.821, 0.344, 0.482, 0.728, 0.154, -0.715]"
153,baby,"[0.951, 0.453, -0.134, 0.961, -0.608, -0.692, 0.34, -0.57, -0.697, -0.451]"
154,fill,"[0.699, 0.12, 0.889, -0.575, -0.102, -0.097, 0.996, -0.085, -0.989, -0.919]"
155,director,"[0.741, 0.978, -0.092, -0.947, -0.593, -0.331, 0.122, -0.204, -0.994, -0.051]"
156,which,"[0.273, -0.377, -0.558, -0.159, -0.318, 0.993, 0.762, 0.171, 0.193, -0.972]"
157,month,"[0.393, -0.681, 0.37, -0.045, 0.672, 0.437, -0.593, 0.92, 0.121, 0.698]"
158,and,"[-0.821, -0.937, 0.819, 0.428, -0.097, 0.627, -0.058, 0.427, -0.886, 0.786]"
159,half,"[0.809, -0.007, 0.084, 0.78, -0.298, -0.116, -0.167, -0.206, 0.671, -0.351]"
160,section,"[-0.43, -0.941, -0.854, 0.779, 0.832, -0.025, -0.488, 0.586, -0.605, 0.261]"
161,good,"[0.559, 0.331, 0.037, 0.165, 0.921, 0.027, -0.261, -0.579, 0.45, 0.222]"
162,result,"[-0.073, 0.268, 0.749, -0.338, -0.446, -0.422, -0.989, -0.552, 0.306, 0.228]"
163,argue,"[0.416, -0.006, -0.657, 0.065, 0.314, 0.806, -0.209, 0.622, 0.324, 0.533]"
164,hair,"[-0.249, 0.15, -0.299, 0.673, 0.547, -0.97, -0.128, 0.813, 0.731, -0.347]"
165,sure,"[-0.24, 0.146, 0.829, -0.568, -0.864, 0.556, 0.867, -0.289, -0.392, -0.689]"
166,base,"[-0.654, -0.219, 0.376, 0.056, -0.501, -0.273, -0.641, 0.133, -0.472, -0.556]"
167,phone,"[-0.315, -0.318, 0.61, -0.164, 0.729, -0.226, -0.831, 0.271, 0.909, 0.295]"
168,trade,"[0.274, -0.723, 0.402, 0.953, -0.003, -0.287, 0.469, -0.428, 0.7, -0.621]"
169,billion,"[-0.541, 0.637, 0.482, -0.249, 0.731, -0.306, -0.3, -0.427, -0.136, -0.331]"
170,its,"[-0.502, -0.804, 0.491, -0.036, 0.91, -0.955, 0.716, -0.045, -0.501, -0.214]"
171,he,"[0.239, -0.727, 0.941, 0.143, 0.66, 0.155, 0.665, -0.854, -0.554, 0.989]"
172,like,"[-0.799, 0.061, 0.659, -0.594, 0.87, 0.588, -0.133, -0.305, -0.258, -0.428]"
173,eye,"[0.641, 0.119, 0.73, -0.508, -0.893, -0.333, 0.602, 0.539, -0.655, -0.285]"
174,hospital,"[0.949, 0.248, 0.819, 0.262, 0.431, 0.714, 0.459, 0.504, 0.928, 0.948]"
175,reality,"[-0.996, 0.657, 0.299, -0.746, 0.252, 0.982, 0.685, -0.388, 0.514, 0.794]"
176,voice,"[0.76, -0.682, -0.491, -0.882, -0.069, -0.011, 0.363, 0.021, -0.51, -0.872]"
177,admit,"[-0.882, -0.817, 0.195, 0.29, 0.87, -0.658, 0.604, -0.82, -0.701, -0.599]"
178,human,"[-0.897, 0.375, -0.917, -0.921, 0.558, 0.75, 0.593, -0.876, -0.902, 0.671]"
179,single,"[0.616, 0.082, -0.381, -0.473, -0.555, 0.753, 0.634, -0.844, -0.064, -0.745]"
180,public,"[-0.282, 0.771, -0.599, 0.473, -0.346, 0.237, 0.09, -0.717, -0.21, -0.902]"
181,hard,"[0.23, 0.364, 0.664, -0.094, -0.142, -0.405, 0.968, -0.275, -0.051, -0.778]"
182,most,"[0.634, 0.261, 0.514, 0.075, -0.656, 0.062, -0.922, -0.278, 0.696, -0.633]"
183,key,"[0.248, -0.999, -0.445, -0.124, -0.394, -0.411, 0.84, -0.593, -0.034, -0.559]"
184,say,"[0.584, -0.351, 0.862, -0.307, 0.437, 0.529, 0.401, -0.261, -0.889, 0.26]"
185,fact,"[0.75, -0.469, 0.371, 0.273, 0.832, 0.959, 0.131, -0.16, 0.87, 0.084]"
186,image,"[-0.174, -0.746, 0.518, -0.035, -0.477, -0.7, 0.275, -0.62, 0.664, -0.518]"
187,knowledge,"[-0.771, 0.137, 0.741, 0.787, -0.081, 0.002, 0.014, 0.111, 0.183, -0.65]"
188,reality,"[-0.832, -0.639, -0.659, -0.458, 0.814, 0.68, 0.019, 0.164, 0.708, -0.354]"
189,picture,"[-0.097, -0.687, 0.091, 0.247, -0.569, 0.55, -0.446, -0.973, 0.348, -0.676]"
190,edge,"[-0.156, -0.378, 0.529, 0.055, -0.653, 0.357, 0.766, -0.478, -0.259, 0.385]"
191,physical,"[0.3, -0.59, -0.704, -0.543, 0.921, -0.112, -0.262, -0.467, -0.721, -0.237]"
192,itself,"[-0.966, 0.235, -0.112, -0.013, -0.347, 0.342, 0.075, -0.977, 0.462, 0.923]"
193,hair,"[0.069, -0.873, -0.525, -0.456, -0.497, -0.665, -0.984, -0.027, -0.028, -0.427]"
194,heavy,"[0.095, -0.018, 0.141, -0.286, -0.916, 0.484, -0.942, -0.886, -0.157, 0.877]"
195,cause,"[0.211, -0.258, 0.076, 0.901, -0.953, -0.266, -0.391, 0.391, 0.936, -0.395]"
196,attack,"[-0.582, 0.487, 0.454, -0.41, -0.109, -0.107, 0.827, 0.461, 0.619, 0.212]"
197,house,"[0.079, -0.944, 0.158, -0.575, 0.487, -0.698, 0.326, -0.957, 0.582, -0.868]"
198,garden,"[0.908, -0.416, -0.09, -0.398, -0.496, 0.454, -0.586, 0.965, -0.246, 0.955]"
199,analysis,"[-0.876, -0.231, -0.554, 0.941, 0.356, 0.713, 0.436, -0.811, -0.166, -0.091]"
200,concern,"[0.09, 0.391, -0.498, 0.258, 0.712, -0.511, -0.564, -0.576, 0.03, -0.779]"
